Brand,Model,Year of Fabrication,Kilometres,Location,PriceEuro
Jaguar,F-Pace,2018,178 000 km,"Bucuresti, Sectorul 6","22 900"
Nissan,Qashqai+2,2012,184 271 km,"Str. Corneliu Coposu - 40000 Cluj-Napoca, Judet Cluj (Romania)","9 850"
Ford,Focus,2019,124 446 km,"Strada Padina 1, Bucharest, Romania - 015015 Bucuresti, Judet Bucuresti (Romania)","11 950"
BMW,X6,2012,265 000 km,"Braila, Judet Braila","14 600"
Dacia,Duster,2022,29 999 km,"Bd. Timisoara nr. 104E - 61334 Bucuresti, Judet Bucuresti (Romania)","17 890"
BMW,X6,2021,97 200 km,"Sat Apahida, Comuna Apahida Strada Liliacului 13, - 407035 Apahida, Judet Cluj (Romania)","79 900"
Mercedes-Benz,EQS,2022,7 km,"Calea Bucuresti nr.241, - 324767 Brasov, Judet Brasov (Romania)","149 945"
Renault,Megane,2018,71 000 km,"CRAIOVA - Giratoriu DN6-Centura Sud Craiova-Carcea - 207206 Craiova, Judet Dolj (Romania)","10 990"
Volvo,V40,2015,167 500 km,"Bucuresti, Sectorul 1","8 450"
Audi,A6,2019,159 152 km,"Strada Padina 1, Bucharest, Romania - 015015 Bucuresti, Judet Bucuresti (Romania)","31 250"
Volkswagen,Passat,2016,197 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","12 500"
Audi,A4,2007,251 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","4 950"
Dacia,Duster,2018,180 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","10 750"
Kia,Sportage,2012,206 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","9 300"
Mercedes-Benz,S,2015,147 522 km,"Strada Virgiliu 46, Bucharest, Romania - 010884 Bucuresti, Judet Bucuresti (Romania)","38 500"
Toyota,Avensis,2012,197 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","8 250"
Opel,Astra,2019,184 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","10 250"
Volkswagen,Passat,2011,235 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","9 000"
BMW,Seria 3,2011,208 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","6 650"
Volkswagen,Passat,2020,90 500 km,"Str Intre Lacuri Nr.6 cluj napoca - 400601 Cluj-Napoca, Judet Cluj (Romania)","25 999"
Honda,Jazz,2011,140 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","5 450"
Seat,Ibiza,2015,140 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","5 750"
Kia,Sportage,2019,37 000 km,"DN E85, Nr 83 - 212329 Gura Calnaului, Judet Buzau (Romania)","19 800"
Mercedes-Benz,S,2018,79 000 km,"DN E85, Nr 83 - 212329 Gura Calnaului, Judet Buzau (Romania)","74 999"
Nissan,Qashqai+2,2010,201 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","7 250"
Mazda,5,2007,193 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","3 800"
Land Rover,Range Rover,2018,121 000 km,"Magurele str Magnoliei nr.10 - 077125 Magurele, Judet Bucuresti - Ilfov (Romania)","59 500"
BMW,Seria 5,2017,154 500 km,"RETEA NATIONALA DE VANZARI - BUCURESTI Galati, Judet Galati (Romania)","32 713"
Hyundai,Tucson,2021,23 700 km,"RETEA NATIONALA DE VANZARI - BUCURESTI Galati, Judet Galati (Romania)","38 066"
Volkswagen,Golf,2017,209 000 km,"Strada Avram Iancu 142A - 407280 Floresti, Judet Cluj (Romania)","10 489"
Volkswagen,Tiguan,2019,122 506 km,"Calea Bucuresti, nr. 111 - 077180 Tunari, Judet Bucuresti - Ilfov (Romania)","24 490"
Jeep,Wrangler,2020,64 000 km,"spatar milescu - 100451 Ploiesti, Judet Prahova (Romania)","60 214"
BMW,X6 M,2020,40 500 km,"Bucuresti, Splaiul Unirii, Nr. 311, Sec 3. - 236578 Bucuresti, Judet Bucuresti (Romania)","84 899"
Volkswagen,Touareg,2019,199 000 km,"Str.Plevnei Nr.117 - 400394 Cluj-Napoca, Judet Cluj (Romania)","39 990"
Volkswagen,Golf,2021,19 500 km,"B-dul Garii nr. 3A - 500199 Brasov, Judet Brasov (Romania)","26 775"
