Brand,Model,Year of Fabrication,Kilometres,Location,PriceEuro
Ford,Kuga,2023,1 km,"DN28 Iasi - Targu Frumos Km 10 - 707410 Iasi, Judet Iasi (Romania)","24 000"
Volkswagen,Polo,2021,69 158 km,"Bucuresti, Sector 1, Bulevardul Expozitiei, Nr. 22 - 012103 Bucuresti, Judet Bucuresti (Romania)","12 990"
Ford,Puma,2023,,"Bulevardul Grivitei A100 - 500198 Brasov, Judet Brasov (Romania)","22 800"
Smart,Fortwo,2020,70 000 km,"Arad, Calea Radnei, Nr. 247 - 310316 Arad, Judet Arad (Romania)","12 255"
Land Rover,Range Rover,2018,210 952 km,"DN 65B, Nr. 11, Zona Comercială - 117140 Pitesti, Judet Arges (Romania)","49 900"
Lamborghini,URUS,2022,2 411 km,"Calea Bucuresti, Nr 95-97 - 321559 Otopeni, Judet Bucuresti - Ilfov (Romania)","368 999"
Audi,S8,2021,17 000 km,"BULEVARDUL DEM RADULESCU NR.29 - 240425 Ramnicu Valcea, Judet Valcea (Romania)","95 200"
Ford,Focus,2019,28 000 km,"Strada Progresului 134-138, București, România - 050696 Bucuresti, Judet Bucuresti (Romania)","18 990"
Volkswagen,Phaeton,2010,381 000 km,"Strada Comerțului 5, Domnești, Ilfov, Romania - 077090 Domnesti, Judet Bucuresti - Ilfov (Romania)","7 000"
Renault,Espace,2005,297 523 km,"Constantin Langa nr 200 Miroslava - 707305 Miroslava, Judet Iasi (Romania)","3 400"
Ford,Galaxy,2007,202 452 km,"Constantin Langa nr 200 Miroslava - 707305 Miroslava, Judet Iasi (Romania)","4 300"
BMW,Seria 3,2011,209 000 km,"Cluj-Napoca, Judet Cluj","6 499"
Volvo,XC 90,2022,44 590 km,"Horea 3 - 400407 Cluj-Napoca, Judet Cluj (Romania)","47 400"
Volkswagen,Passat,2020,166 177 km,"Calea Turzii 223 - 400500 Cluj-Napoca, Judet Cluj (Romania)","18 900"
Volkswagen,Touran,2016,186 167 km,"Braila, Judet Braila","12 800"
Mercedes-Benz,C,2007,180 000 km,"Bucuresti, Sectorul 4","7 400"
Dacia,Duster,2019,209 560 km,"Pitesti, Judet Arges","11 990"
Volkswagen,Jetta,2011,312 000 km,"Strada Principala, nr 701 - 123456 Sascut, Judet Bacau (Romania)","6 999"
Ford,Focus,2016,72 000 km,"Targu-Mures, Judet Mures","12 999"
Mercedes-Benz,Vito,2018,160 000 km,"DN E85, Nr 83 - 212329 Gura Calnaului, Judet Buzau (Romania)","26 800"
Audi,A6,2010,250 000 km,"Timisoara, Judet Timis","7 300"
Mercedes-Benz,Citan,2023,4 km,"SIBIU - 550154 Sibiu, Judet Sibiu (Romania)","24 843"
Mercedes-Benz,Citan,2023,4 km,"SIBIU - 550154 Sibiu, Judet Sibiu (Romania)","24 843"
Mercedes-Benz,A,2019,49 000 km,"Bucuresti, Sectorul 4","28 850"
Skoda,RAPID,2015,192 000 km,"Cristuru Secuiesc, Judet Harghita","7 500"
Toyota,Aygo,2021,13 737 km,"B-dul Pipera nr 1, biroul 3, Sediul Toyota Pipera - 077190 Voluntari, Judet Bucuresti - Ilfov (Romania)","12 900"
Hyundai,I30,2015,138 000 km,"Strejnicu, Judet Prahova","9 250"
Audi,Q3,2014,226 041 km,"Spicului 2 - 440278 Satu Mare, Judet Satu Mare (Romania)","14 599"
Audi,A4,2020,152 153 km,"CALEA FLORESTI NR.145 - 400524 Cluj-Napoca, Judet Cluj (Romania)","28 450"
Mercedes-Benz,A,2023,13 502 km,"Șoseaua București-Ploiești 42D, Bucharest, Romania - 015011 Bucuresti, Judet Bucuresti (Romania)","45 000"
Seat,Ibiza,2012,168 000 km,"Soseaua Nationala , DN2 - E85 - 627385 Urechesti, Judet Vrancea (Romania)","7 950"
Volvo,XC 60,2020,88 249 km,"Calea Bucuresti 241 - 500299 Brasov, Judet Brasov (Romania)","38 899"
Ford,Transit,2018,269 516 km,"Calea Bucuresti, nr. 111 - 077180 Tunari, Judet Bucuresti - Ilfov (Romania)","15 190"
Dacia,Duster,2018,83 850 km,"Str. Calea Sagului nr.142A - 300517 Timisoara, Judet Timis (Romania)","17 900"
BMW,X1,2015,184 000 km,"DN 22B, km 4 - 810550 Braila, Judet Braila (Romania)","11 400"
Audi,A4,2018,155 000 km,"Aleea Sinaia L150(LANGA RESTAURANT SOLARINO) - 13004 Aninoasa, Judet Dambovita (Romania)","17 850"
Land Rover,Range Rover Velar,2018,124 000 km,"DN 22B, km 4 - 810550 Braila, Judet Braila (Romania)","48 500"
Lexus,Seria RX,2023,10 km,"Intrarea Straulesti nr. 2D - 013342 Bucuresti, Judet Bucuresti (Romania)","99 960"
Ford,Fiesta,2009,212 000 km,"Sos. Nicolina 207 - 707317 Iasi, Judet Iasi (Romania)","3 990"
Seat,Leon,2019,151 289 km,"Calea Turzii 223 - 400500 Cluj-Napoca, Judet Cluj (Romania)","14 800"
Mercedes-Benz,GLS,2023,10 km,"Str Gheorghe Doja nr 304 - 540237 Targu-Mures, Judet Mures (Romania)","253 628"
BMW,X6,2020,35 000 km,"Calea Bucuresti, Nr 95-97 - 321559 Otopeni, Judet Bucuresti - Ilfov (Romania)","87 989"
Skoda,RAPID,2019,74 760 km,"Str. Calea Sagului nr.142A - 300517 Timisoara, Judet Timis (Romania)","10 900"
Renault,Clio,2020,94 000 km,"SPLAIUL UNIRII 865H - 030352 Bucuresti, Judet Bucuresti (Romania)","9 250"
Mercedes-Benz,S,2021,2 300 km,"Calea Bucuresti, Nr 95-97 - 321559 Otopeni, Judet Bucuresti - Ilfov (Romania)","126 689"
Volkswagen,Tiguan,2019,57 000 km,"Sos. Bucuresti Nord, nr. 15-23 etaj. 1 Voluntari - 077190 Voluntari, Judet Bucuresti - Ilfov (Romania)","29 500"
Lexus,Seria RX,2018,237 000 km,"Bucuresti, Sectorul 1","18 500"
Volvo,XC 90,2020,83 500 km,"Selimbar, Sos. Sibiului, nr 28 - 557260 Selimbar, Judet Sibiu (Romania)","52 900"
Audi,A8,2007,280 856 km,"Constantin Langa nr 200 Miroslava - 707305 Miroslava, Judet Iasi (Romania)","7 600"
BMW,X1,2011,290 000 km,"Strejnicu, Judet Prahova","8 250"
Mercedes-Benz,GLE,2023,8 562 km,"Strada Ștrandului 61A - 100200 Ploiesti, Judet Prahova (Romania)","104 899"
Mercedes-Benz,Sprinter,2011,180 795 km,"Str. Rosetti, Nr. 2B - 440214 Satu Mare, Judet Satu Mare (Romania)","13 900"
Renault,Kadjar,2017,185 124 km,"TRANSILVANIEI NR 510 - 120164 Buzau, Judet Buzau (Romania)","13 600"
Skoda,Karoq,2019,134 548 km,"Calea Turzii 223 - 400500 Cluj-Napoca, Judet Cluj (Romania)","21 900"
Audi,A5,2022,7 231 km,"Bulevardul Expozitiei 2 - 012103 Bucuresti, Judet Bucuresti (Romania)","40 500"
Volkswagen,Caddy,2017,275 000 km,"Aleea Sinaia L150(LANGA RESTAURANT SOLARINO) - 13004 Aninoasa, Judet Dambovita (Romania)","14 280"
Audi,A4,2010,245 398 km,"STRADA ATOMISTILOR NR.50, MAGURELE, ILFOV - 077125 Magurele, Judet Bucuresti - Ilfov (Romania)","9 950"
BMW,Seria 2,2016,239 000 km,"dj 106k, 124 - 515800 Sebes, Judet Alba (Romania)","9 999"
Mercedes-Benz,S,2017,159 000 km,"Ploiesti, Judet Prahova","65 500"
Mercedes-Benz,EQV,2023,5 000 km,"Calea Radnei Nr.247 - 310316 Arad, Judet Arad (Romania)","113 410"
Mercedes-Benz,GLC,2021,29 996 km,"sat Rudeni, nr. 103 - 077046 Chitila, Judet Bucuresti - Ilfov (Romania)","49 900"
Alfa Romeo,Stelvio,2017,110 600 km,"Str. Drumul Garii nr 5D - 060604 Bucuresti, Judet Bucuresti (Romania)","23 989"
Volkswagen,Golf,2017,87 000 km,"Sos. Iasi - Tg. Frumos Km 12 - 707280 Iasi, Judet Iasi (Romania)","12 852"
Citroën,C4,2023,,"Hyundai Bucuresti | Neo Motors, Șoseaua Pipera 48, - 123456 Bucuresti, Judet Bucuresti (Romania)","22 877"
Mercedes-Benz,GLC,2019,90 456 km,"Calea Turzii 223 - 400500 Cluj-Napoca, Judet Cluj (Romania)","37 700"
Volvo,XC 60,2017,185 120 km,"Cluj-Napoca, Judet Cluj","26 900"
Lexus,Seria RX,2016,144 363 km,"Calea Turzii Nr. 176-178 - 400495 Cluj-Napoca, Judet Cluj (Romania)","30 899"
Toyota,Corolla,2019,67 170 km,"Str. Calea Bucuresti nr 115,comuna Pielesti - 200000 Craiova, Judet Dolj (Romania)","19 489"
Mitsubishi,Eclipse-Cross,2018,71 161 km,"Strada Padina 1, Bucharest, Romania - 015015 Bucuresti, Judet Bucuresti (Romania)","17 650"
Skoda,Superb,2019,82 626 km,"Sos. Odai Nr. 219-225 - 013604 Bucuresti, Judet Bucuresti (Romania)","21 788"
Ford,Kuga,2023,5 000 km,"Str.Aurel Vlaicu Nr.119 Satu Mare - 440122 Satu Mare, Judet Satu Mare (Romania)","38 033"
Audi,A3,2022,23 375 km,"Sos. Odai Nr. 219-225 - 013604 Bucuresti, Judet Bucuresti (Romania)","26 989"
Volkswagen,Polo,2021,51 325 km,"Bucuresti, Sector 1, Bulevardul Expozitiei, Nr. 22 - 012103 Bucuresti, Judet Bucuresti (Romania)","12 990"
Volkswagen,Polo,2021,52 273 km,"Bucuresti, Sector 1, Bulevardul Expozitiei, Nr. 22 - 012103 Bucuresti, Judet Bucuresti (Romania)","12 990"
Opel,Insignia,2018,152 283 km,"Splaiul Independenței 319, Sema Parc - Paris - 060044 Bucuresti, Judet Bucuresti (Romania)","11 350"
Mercedes-Benz,GLC,2021,23 500 km,"Calea Radnei Nr.247 - 310316 Arad, Judet Arad (Romania)","65 270"
Volvo,XC 60,2023,5 km,"GHEORGHE DOJA, NR 304 - 540237 Targu-Mures, Judet Mures (Romania)","63 488"
BMW,Seria 5,2017,145 500 km,"Strada Mărțișor Nr. 34 - 077025 Bragadiru, Judet Bucuresti - Ilfov (Romania)","29 990"
Mercedes-Benz,GLA,2023,,"Bd. Aurel Vlaicu - Nr.133 - 900498 Constanta, Judet Constanta (Romania)","48 280"
Mercedes-Benz,GLA,2021,41 800 km,"Șoseaua București-Ploiești 42D, Bucharest, Romania - 015011 Bucuresti, Judet Bucuresti (Romania)","37 500"
Audi,A4,2020,67 800 km,"Calea Bucurestilor Nr. 95-97 - 075100 Otopeni, Judet Bucuresti - Ilfov (Romania)","33 680"
Audi,A4,2020,46 727 km,"Calea Bucurestilor Nr. 95-97 - 075100 Otopeni, Judet Bucuresti - Ilfov (Romania)","34 989"
Audi,A4,2020,98 575 km,"Calea Bucurestilor Nr. 95-97 - 075100 Otopeni, Judet Bucuresti - Ilfov (Romania)","25 589"
Nissan,Navara,2014,313 850 km,"STRADA DOAMNA CHIAJNA NUMARUL 100, - 077040 Chiajna, Judet Bucuresti - Ilfov (Romania)","10 249"
Rolls-Royce,Ghost,2022,15 500 km,"Piata Montreal 10 Sector 1 - 011469 Bucuresti, Judet Bucuresti (Romania)","339 150"
Ford,Focus,2016,121 000 km,"Strada Drumul Garii Balotesti 22a - 075100 Otopeni, Judet Bucuresti - Ilfov (Romania)","7 050"
BMW,X4,2018,73 500 km,"Iasi, Judet Iasi","29 800"
Audi,A6,2022,15 908 km,"Petrochimiștilor, Nr. 34 - 110181 Pitesti, Judet Arges (Romania)","47 900"
BMW,Seria 7,2023,24 785 km,"Drumul Osiei 52 - 062395 Bucuresti, Judet Bucuresti (Romania)","113 999"
Toyota,Aygo,2022,2 000 km,"sos Humorului, nr 76A - 727525 Scheia, Judet Suceava (Romania)","15 599"
Mercedes-Benz,ML,2008,234 000 km,"Iasi, Judet Iasi","10 850"
Peugeot,2008,2016,99 500 km,"Bucuresti, Sectorul 2","8 740"
Volvo,S60,2006,200 000 km,"Catelu, Judet Bucuresti - Ilfov","3 850"
Mercedes-Benz,S,2016,95 744 km,"Constanta, Judet Constanta","47 600"
Mercedes-Benz,E,2020,8 950 km,"Bucuresti, Sectorul 1","50 900"
Opel,Grandland X,2018,58 000 km,"Pitesti, Judet Arges","13 900"
Audi,A4,2016,201 100 km,"Buftea, Judet Bucuresti - Ilfov","16 300"
Skoda,Fabia,2016,203 000 km,"STRADA DOAMNA CHIAJNA NUMARUL 100, - 077040 Chiajna, Judet Bucuresti - Ilfov (Romania)","6 649"
Renault,Clio,2019,109 335 km,"Str. Euro 85, Nr. 160 - 123456 Maracineni, Judet Buzau (Romania)","8 150"
Kia,XCeed,2022,4 200 km,"Calea Bucuresti, Nr 232 - 500299 Brasov, Judet Brasov (Romania)","22 889"
Hyundai,Tucson,2016,108 105 km,"Buzau, Judet Buzau","19 500"
Hyundai,IONIQ,2017,102 000 km,"Pitesti, Judet Arges","13 799"
BMW,X3,2015,249 000 km,"Cluj-Napoca, Judet Cluj","17 500"
Toyota,Corolla,2019,95 400 km,"Bucuresti, sector 6 - 077040 Bucuresti, Judet Bucuresti (Romania)","17 689"
Land Rover,Range Rover Evoque,2016,153 400 km,"Strada Mărțișor Nr. 34 - 077025 Bragadiru, Judet Bucuresti - Ilfov (Romania)","21 790"
Renault,Megane,2019,130 000 km,"Splaiul Unirii 697 ( Starleasing pe waze ) - 031502 Bucuresti, Judet Bucuresti (Romania)","10 990"
Ford,Edge,2019,59 107 km,"Strada Progresului 134-138, București, România - 050696 Bucuresti, Judet Bucuresti (Romania)","29 990"
Audi,A5,2021,144 000 km,"Aleea Sinaia L150(LANGA RESTAURANT SOLARINO) - 13004 Aninoasa, Judet Dambovita (Romania)","29 988"
Tesla,Model X,2019,62 952 km,"str.Turnu Magurele 270D, Cavar Center,Parter - 041713 Bucuresti, Judet Bucuresti (Romania)","73 989"
Porsche,Cayenne,2012,297 000 km,"Strada Gladiolelor 39 - 077025 Bragadiru, Judet Bucuresti - Ilfov (Romania)","17 000"
Toyota,RAV4,2017,137 565 km,"B-dul Pipera nr 1, biroul 3, Sediul Toyota Pipera - 077190 Voluntari, Judet Bucuresti - Ilfov (Romania)","24 899"
Skoda,Octavia,2018,139 000 km,"Galati, Judet Galati","13 900"
Ford,Puma,2023,,"Bulevardul Grivitei A100 - 500198 Brasov, Judet Brasov (Romania)","15 899"
Hyundai,i40,2015,181 000 km,"Str. Mesteacanului Nr.30 - 300410 Timisoara, Judet Timis (Romania)","7 799"
Toyota,Land Cruiser,2022,10 km,"Piata Montreal 10, intrarea E, Parter, - 121229 Bucuresti, Judet Bucuresti (Romania)","175 339"
Seat,Ateca,2022,25 000 km,"Petrochimiștilor, Nr. 34 - 110181 Pitesti, Judet Arges (Romania)","26 490"
Opel,Astra,2012,240 167 km,"Centura de Nord - 200104 Craiova, Judet Dolj (Romania)","4 390"
BMW,X6,2020,43 069 km,"Calea Bucuresti, Nr 95-97 - 321559 Otopeni, Judet Bucuresti - Ilfov (Romania)","79 900"
Audi,Q7,2020,63 000 km,"Calea Bucuresti, Nr 95-97 - 321559 Otopeni, Judet Bucuresti - Ilfov (Romania)","85 600"
Mercedes-Benz,CLA,2020,12 550 km,"Calea Bucuresti, Nr. 152 - 207450 Craiova, Judet Dolj (Romania)","47 005"
Smart,Fortwo,2023,5 km,"Șoseaua București Nord 18, Voluntari, Romania - 077190 Voluntari, Judet Bucuresti - Ilfov (Romania)","26 895"
Jaguar,XJ,2013,55 769 km,"Bulevardul Expozitiei 2 - 012103 Bucuresti, Judet Bucuresti (Romania)","27 000"
Opel,Astra,2007,182 000 km,"Calea Aurel Vlaicu 275c, Arad, România - 310350 Arad, Judet Arad (Romania)","5 799"
Mercedes-Benz,C,2020,163 000 km,"Aleea Sinaia L150(LANGA RESTAURANT SOLARINO) - 13004 Aninoasa, Judet Dambovita (Romania)","24 990"
Porsche,Boxster,2018,13 316 km,"Racordarii, NR 12-18 - 012686 Bucuresti, Judet Bucuresti (Romania)","57 900"
BMW,X5,2020,25 047 km,"Calea Bucuresti, Nr 95-97 - 321559 Otopeni, Judet Bucuresti - Ilfov (Romania)","74 990"
BMW,X6 M,2020,32 000 km,"Calea Bucuresti, Nr 95-97 - 321559 Otopeni, Judet Bucuresti - Ilfov (Romania)","114 819"
Mercedes-Benz,C,2019,38 000 km,"STR. CALARASI, NR. 84 - 515800 Sebes, Judet Alba (Romania)","37 900"
Land Rover,Range Rover Evoque,2021,27 000 km,"Str. Intrarea Mangaliei 78A, Constanta - 900663 Constanta, Judet Constanta (Romania)","47 481"
Mercedes-Benz,CLS,2015,154 030 km,"Calea Bucuresti, Nr. 152 - 207450 Craiova, Judet Dolj (Romania)","26 990"
Ford,Kuga,2017,252 224 km,"Calea Clujului 197, Oradea, România - 410546 Oradea, Judet Bihor (Romania)","13 990"
Mercedes-Benz,CLA,2022,11 820 km,"Strada Ștrandului 61A - 100200 Ploiesti, Judet Prahova (Romania)","46 899"
Ford,Focus,2017,100 501 km,"DN 22B, km 4 - 810550 Braila, Judet Braila (Romania)","7 990"
Nissan,Qashqai,2014,167 000 km,"Cluj-Napoca, Judet Cluj","12 890"
Volkswagen,Caddy,2020,41 295 km,"Sos. Pipera 50A, Sector 2, Bucuresti - 014254 Bucuresti, Judet Bucuresti (Romania)","27 370"
Volvo,V90,2021,25 890 km,"Calea Bucurestilor Nr. 95-97 - 075100 Otopeni, Judet Bucuresti - Ilfov (Romania)","46 900"
BMW,X6 M,2023,3 000 km,"Soseaua Bucuresti-Ploiesti 42-44, Bucuresti - 013696 Bucuresti, Judet Bucuresti (Romania)","153 900"
Dacia,Duster,2021,56 851 km,"Bucuresti, Sector 1, Bulevardul Expozitiei, Nr. 22 - 012103 Bucuresti, Judet Bucuresti (Romania)","18 490"
Jeep,Renegade,2015,160 785 km,"Splaiul Independenței 319, Sema Parc - Paris - 060044 Bucuresti, Judet Bucuresti (Romania)","12 949"
BMW,X1,2012,183 930 km,"Bulevardul Sofia Vicoveanca nr 52 jud.Suceava - 720181 Suceava, Judet Suceava (Romania)","13 650"
Volvo,XC 90,2023,100 km,"CALEA FLORESTI NR.145 - 400524 Cluj-Napoca, Judet Cluj (Romania)","77 786"
BMW,X1,2013,195 758 km,"Splaiul Independenței 319, Sema Parc - Paris - 060044 Bucuresti, Judet Bucuresti (Romania)","10 350"
Volkswagen,Tiguan,2013,198 511 km,"Strada Conac 60, Dumbrăvița, România - 300627 Timisoara, Judet Timis (Romania)","11 650"
Opel,Astra,2018,180 000 km,"Popesti-Leordeni, Judet Bucuresti - Ilfov","9 990"
Audi,A4,2016,245 000 km,"Mureseni, Judet Mures","15 200"
Nissan,X-Trail,2008,178 609 km,"Splaiul Unirii, Nr.311 - 031111 Bucuresti, Judet Bucuresti (Romania)","9 300"
BMW,M1,2020,19 800 km,"Bucuresti, Judet Bucuresti","37 900"
Mercedes-Benz,C,2012,271 000 km,"Dobroesti, Judet Bucuresti - Ilfov","9 900"
Opel,Zafira,2014,235 000 km,"Targoviste, Judet Dambovita","7 800"
Nissan,Qashqai,2014,173 408 km,"Cluj-Napoca, Judet Cluj","12 850"
BMW,X3,2006,260 000 km,"Str.Martirilor 1989 Nr 160 - 300693 Timisoara, Judet Timis (Romania)","5 650"
Renault,Captur,2016,134 000 km,"Str.Martirilor 1989 Nr 160 - 300693 Timisoara, Judet Timis (Romania)","8 950"
BMW,X4,2017,163 500 km,"Brasov, Judet Brasov","24 950"
Audi,A4,2016,103 200 km,"Buftea, Judet Bucuresti - Ilfov","19 600"
BMW,X3,2018,187 000 km,"Odaile, Judet Bucuresti - Ilfov","28 700"
Audi,A6,2020,61 400 km,"Selimbar, Sos. Sibiului, nr 28 - 557260 Selimbar, Judet Sibiu (Romania)","36 900"
Volkswagen,Passat,2010,170 000 km,"Calea Aurel Vlaicu 275c, Arad, România - 310350 Arad, Judet Arad (Romania)","6 499"
Opel,Insignia,2019,47 000 km,"Videle, Judet Teleorman","9 999"
Peugeot,301,2018,195 981 km,"STRADA ATOMISTILOR NR.50, MAGURELE, ILFOV - 077125 Magurele, Judet Bucuresti - Ilfov (Romania)","6 950"
BMW,X1,2014,182 000 km,"Bucuresti, Sectorul 3","11 999"
Volkswagen,up!,2018,85 231 km,"Calea Turzii 223 - 400500 Cluj-Napoca, Judet Cluj (Romania)","7 990"
Volvo,XC 70,2006,200 000 km,"Catelu, Judet Bucuresti - Ilfov","2 500"
Ford,C-Max,2010,280 740 km,"Craiova, Judet Dolj","5 200"
Volvo,V70,2012,234 000 km,"Bistrita, Judet Bistrita-Nasaud","6 350"
Ford,Kuga,2014,205 000 km,"STR. CALARASI, NR. 84 - 515800 Sebes, Judet Alba (Romania)","9 700"
BMW,Seria 7,2014,309 000 km,"Buzau, Judet Buzau","22 999"
BMW,X5,2020,87 000 km,"Bucuresti, Sectorul 6","80 000"
Renault,Megane,2012,234 000 km,"Tatarani, Judet Prahova","6 250"
Renault,Clio,2020,103 446 km,"Splaiul Independenței 319, Sema Parc - Paris - 060044 Bucuresti, Judet Bucuresti (Romania)","11 199"
Land Rover,Discovery,2018,39 312 km,"Calea Chisinaului 23 - 705200 Iasi, Judet Iasi (Romania)","42 860"
Mazda,3,2020,150 000 km,"Splaiul Unirii 697 ( Starleasing pe waze ) - 031502 Bucuresti, Judet Bucuresti (Romania)","15 990"
Renault,Kadjar,2017,100 356 km,"Splaiul Independenței 319, Sema Parc - Paris - 060044 Bucuresti, Judet Bucuresti (Romania)","15 250"
Volkswagen,Passat,2015,210 800 km,"Voluntari, Judet Bucuresti - Ilfov","17 000"
Ford,Mondeo,2020,145 000 km,"DN 22B, km 4 - 810550 Braila, Judet Braila (Romania)","20 870"
Nissan,Qashqai,2012,253 000 km,"Str Teilor nr.170 - 307201 Timisoara, Judet Timis (Romania)","7 899"
Volkswagen,Golf,2018,111 838 km,"Splaiul Independenței 319, Sema Parc - Paris - 060044 Bucuresti, Judet Bucuresti (Romania)","13 099"
Renault,Arkana,2023,1 710 km,"DN 22B, km 4 - 810550 Braila, Judet Braila (Romania)","28 900"
BMW,Seria 5,2009,360 000 km,"Bd. Tomis, Nr. 358 - 900046 Constanta, Judet Constanta (Romania)","7 300"
Renault,Megane,2022,7 218 km,"DN 22B, km 4 - 810550 Braila, Judet Braila (Romania)","33 990"
Honda,Jazz,2023,35 000 km,"Strada Ștrandului 61A - 100200 Ploiesti, Judet Prahova (Romania)","24 395"
Dacia,Duster,2020,134 000 km,"SPLAIUL UNIRII 865H - 030352 Bucuresti, Judet Bucuresti (Romania)","13 450"
Mercedes-Benz,GLB,2023,5 km,"SIBIU - 550154 Sibiu, Judet Sibiu (Romania)","59 923"
BMW,Seria 7,2017,236 500 km,"Bucuresti, Sectorul 1","33 000"
Audi,Q3,2015,166 945 km,"Bulevardul Sofia Vicoveanca nr 52 jud.Suceava - 720181 Suceava, Judet Suceava (Romania)","17 990"
Hyundai,Tucson,2016,139 093 km,"Bulevardul Sofia Vicoveanca nr 52 jud.Suceava - 720181 Suceava, Judet Suceava (Romania)","17 998"
SsangYong,Torres,2023,1 km,"Baba Novac 78 - 900366 Constanta, Judet Constanta (Romania)","34 089"
Nissan,Qashqai,2021,93 116 km,"Strada Padina 1, Bucharest, Romania - 015015 Bucuresti, Judet Bucuresti (Romania)","18 750"
Audi,A3,2023,12 km,"Str. Brailei nr 269 - 800628 Galati, Judet Galati (Romania)","36 200"
Renault,Clio,2020,86 071 km,"Splaiul Independenței 319, Sema Parc - Paris - 060044 Bucuresti, Judet Bucuresti (Romania)","12 249"
Skoda,Fabia,2018,132 827 km,"Str. Calea Bucuresti, Nr. 37 - 240300 Ramnicu Valcea, Judet Valcea (Romania)","10 494"
Renault,Clio,2020,70 796 km,"Splaiul Independenței 319, Sema Parc - Paris - 060044 Bucuresti, Judet Bucuresti (Romania)","12 199"
Renault,ZOE,2019,130 397 km,"Splaiul Independenței 319, Sema Parc - Paris - 060044 Bucuresti, Judet Bucuresti (Romania)","13 149"
Volkswagen,Tiguan,2018,128 187 km,"Splaiul Independenței 319, Sema Parc - Paris - 060044 Bucuresti, Judet Bucuresti (Romania)","22 450"
Toyota,C-HR,2018,89 100 km,"Bd. Iuliu Maniu Nr 246 - 325467 Bucuresti, Judet Bucuresti (Romania)","21 950"
Nissan,Qashqai,2016,165 635 km,"Splaiul Independenței 319, Sema Parc - Paris - 060044 Bucuresti, Judet Bucuresti (Romania)","14 950"
Mercedes-Benz,GLC Coupe,2021,85 530 km,"sat Rudeni, nr. 103 - 077046 Chitila, Judet Bucuresti - Ilfov (Romania)","56 000"
Mercedes-Benz,ML,2013,154 437 km,"Splaiul Independenței 319, Sema Parc - Paris - 060044 Bucuresti, Judet Bucuresti (Romania)","21 949"
Lexus,Seria LX,2022,2 600 km,"Bulevardul Pipera 28-30 - 077190 Ilfov, Judet Ilfov (Romania)","199 920"
Renault,Clio,2020,77 321 km,"Splaiul Independenței 319, Sema Parc - Paris - 060044 Bucuresti, Judet Bucuresti (Romania)","11 900"
Ford,Mustang,2017,7 058 km,"Calea Bucureștilor 30 - 075100 Otopeni, Judet Bucuresti - Ilfov (Romania)","59 990"
BMW,X3,2011,176 091 km,"Splaiul Independenței 319, Sema Parc - Paris - 060044 Bucuresti, Judet Bucuresti (Romania)","13 450"
Dacia,Duster,2019,91 908 km,"Bulevardul Expozitiei 2 - 012103 Bucuresti, Judet Bucuresti (Romania)","15 500"
Peugeot,508,2015,129 737 km,"Splaiul Independenței 319, Sema Parc - Paris - 060044 Bucuresti, Judet Bucuresti (Romania)","12 750"
Mercedes-Benz,GLC Coupe,2021,85 530 km,"sat Rudeni, nr. 103 - 077046 Chitila, Judet Bucuresti - Ilfov (Romania)","64 498"
Volkswagen,Caddy,2019,249 000 km,"Aleea Sinaia L150(LANGA RESTAURANT SOLARINO) - 13004 Aninoasa, Judet Dambovita (Romania)","15 470"
Audi,Q5,2012,154 141 km,"Splaiul Independenței 319, Sema Parc - Paris - 060044 Bucuresti, Judet Bucuresti (Romania)","17 150"
Mercedes-Benz,C,2023,2 km,"CALEA BORSULUI, NR. 34B - 410605 Oradea, Judet Bihor (Romania)","79 492"
Dacia,Duster,2020,160 000 km,"Splaiul Unirii 697 ( Starleasing pe waze ) - 031502 Bucuresti, Judet Bucuresti (Romania)","11 990"
Dacia,Duster,2019,106 875 km,"Splaiul Independenței 319, Sema Parc - Paris - 060044 Bucuresti, Judet Bucuresti (Romania)","15 749"
Dacia,Duster,2019,104 805 km,"Splaiul Independenței 319, Sema Parc - Paris - 060044 Bucuresti, Judet Bucuresti (Romania)","15 449"
Dacia,Logan,2019,130 441 km,"Splaiul Independenței 319, Sema Parc - Paris - 060044 Bucuresti, Judet Bucuresti (Romania)","9 449"
Dacia,Duster,2019,159 645 km,"Splaiul Independenței 319, Sema Parc - Paris - 060044 Bucuresti, Judet Bucuresti (Romania)","14 949"
Dacia,Duster,2019,182 589 km,"Splaiul Independenței 319, Sema Parc - Paris - 060044 Bucuresti, Judet Bucuresti (Romania)","13 249"
