Brand,Model,Year of Fabrication,Kilometres,Location,PriceEuro,PriceLei
Volvo,XC 90,2022,18 000 km,"Calea Bucurestilor Nr. 95-97 - 075100 Otopeni, Judet Bucuresti - Ilfov (Romania)","67 750","67 750"
Volvo,XC 90,2022,22 741 km,"Calea Bucurestilor Nr. 95-97 - 075100 Otopeni, Judet Bucuresti - Ilfov (Romania)","58 400","58 400"
Renault,Scenic,2009,223 000 km,"Strada Principala, nr 701 - 123456 Sascut, Judet Bacau (Romania)","4 999","4 999"
Ford,Fiesta,2019,150 000 km,"SPLAIUL UNIRII 865H - 030352 Bucuresti, Judet Bucuresti (Romania)","8 250","8 250"
SsangYong,Korando,2022,973 km,"Baba Novac 78 - 900366 Constanta, Judet Constanta (Romania)","22 499","22 499"
Skoda,Octavia,2018,120 950 km,"Calea Moldovei 239, Bacău, Romania - 600353 Bacau, Judet Bacau (Romania)","16 900","16 900"
Land Rover,Discovery Sport,2016,169 000 km,"ion ratiu 9 - 557225 Sibiu, Judet Sibiu (Romania)","17 999","17 999"
Renault,Kadjar,2018,151 000 km,"Aleea Sinaia L150(LANGA RESTAURANT SOLARINO) - 13004 Aninoasa, Judet Dambovita (Romania)","13 982","13 982"
BMW,Seria 1,2013,265 000 km,"Brasov, Judet Brasov","8 500","8 500"
DS Automobiles,DS 7 Crossback,2019,124 900 km,"Baba Novac 78 - 900366 Constanta, Judet Constanta (Romania)","23 193","23 193"
Mercedes-Benz,GLE,2022,6 000 km,"Calea Radnei Nr.247 - 310316 Arad, Judet Arad (Romania)","154 700","154 700"
Smart,Fortwo,2023,5 km,"Șoseaua București Nord 18, Voluntari, Romania - 077190 Voluntari, Judet Bucuresti - Ilfov (Romania)","26 424","26 424"
Mercedes-Benz,GLE,2022,36 501 km,"SIBIU - 550154 Sibiu, Judet Sibiu (Romania)","91 749","91 749"
Mercedes-Benz,CLA,2022,3 594 km,"Strada Ștrandului 61A - 100200 Ploiesti, Judet Prahova (Romania)","44 500","44 500"
BMW,X3,2021,8 369 km,"Calea Bucurestilor Nr. 95-97 - 075100 Otopeni, Judet Bucuresti - Ilfov (Romania)","45 989","45 989"
Volkswagen,Tiguan,2021,21 075 km,"Strada Ștrandului 61A - 100200 Ploiesti, Judet Prahova (Romania)","35 899","35 899"
Porsche,Cayenne Coupe,2021,33 100 km,"str.Turnu Magurele 270D, Cavar Center,Parter - 041713 Bucuresti, Judet Bucuresti (Romania)","94 898","94 898"
Mercedes-Benz,A,2022,7 424 km,"Strada Ștrandului 61A - 100200 Ploiesti, Judet Prahova (Romania)","35 899","35 899"
Nissan,Qashqai,2009,270 850 km,"Str. Euro 85, Nr. 160 - 123456 Maracineni, Judet Buzau (Romania)","6 900","6 900"
Dacia,Duster,2023,10 km,"STR. REGINA MARIA, NR. 1 - 405200 Dej, Judet Cluj (Romania)","23 086","23 086"
Volkswagen,Golf,2021,71 353 km,"Splaiul Unirii Nr.643-673 Sector 3 - 030138 Bucuresti, Judet Bucuresti (Romania)","16 500","16 500"
Volkswagen,Jetta,2018,105 000 km,"Sos. Bucuresti Nord, nr. 15-23 etaj. 1 Voluntari - 077190 Voluntari, Judet Bucuresti - Ilfov (Romania)","14 600","14 600"
Volkswagen,Passat,2019,113 000 km,"Sos. Bucuresti Nord, nr. 15-23 etaj. 1 Voluntari - 077190 Voluntari, Judet Bucuresti - Ilfov (Romania)","18 600","18 600"
